District,Local Body,Announced Date,Cluster Type,No. of Person
KOZHIKODE,PAYYOLI MUNCIPALITY,2021-03-20,Large Community Cluster,241.0
ERNAKULAM,Chengamanad,2021-06-28,Limited Community Cluster,44.0
KOZHIKODE,VANIMEL,2021-07-19,Limited Community Cluster,9.0
KOZHIKODE,THIRUVAMBADI,2021-07-26,Large Community Cluster,65.0
KOZHIKODE,THIRUVAMBADI,2021-07-27,Limited Community Cluster,22.0
ERNAKULAM,Karukutty,2021-07-19,Institutional Cluster,27.0
ERNAKULAM,Muvattupuzha,2021-07-18,Institutional Cluster,4.0
ERNAKULAM,Eloor,2021-07-18,Institutional Cluster,12.0
ERNAKULAM,Thiruvaniyoor,2021-01-07,Institutional Cluster,26.0
ERNAKULAM,Vadavukodu- Puthankurisu,2021-07-25,Institutional Cluster,10.0
ERNAKULAM,Thrikkakara,2021-07-25,Institutional Cluster,5.0
ERNAKULAM,Cochin,2021-07-25,Closed Community Cluster,9.0
ERNAKULAM,Asamannur,2021-07-27,Institutional Cluster,4.0
ERNAKULAM,Cochin,2021-07-19,Institutional Cluster,4.0
ERNAKULAM,Mulanthuruthi,2021-07-20,Institutional Cluster,28.0
ERNAKULAM,Cochin,2021-07-23,Institutional Cluster,5.0
ERNAKULAM,Cochin,2021-06-29,Closed Community Cluster,46.0
KASARAGOD,CHEMNAD,2021-07-19,Institutional Cluster,15.0
KASARAGOD,KODOMBELLUR,2021-07-19,Large Community Cluster,84.0
KASARAGOD,DELAMPADY,2021-07-20,Institutional Cluster,16.0
ERNAKULAM,Mazhuvannur,2021-07-21,Institutional Cluster,5.0
ERNAKULAM,Edathala,2021-07-19,Large Community Cluster,21.0
KASARAGOD,NILESHWAR,2021-07-21,Institutional Cluster,11.0
KASARAGOD,PANATHADY,2021-07-21,Limited Community Cluster,33.0
KASARAGOD,KANHANGAD,2021-07-23,Institutional Cluster,13.0
KASARAGOD,AJANUR,2021-07-23,Large Community Cluster,90.0
ERNAKULAM,Vadavukodu- Puthankurisu,2021-07-24,Institutional Cluster,2.0
ERNAKULAM,Thrikkakara,2021-07-24,Institutional Cluster,7.0
WAYANAD,Muppainadu,2021-07-27,Limited Community Cluster,28.0
WAYANAD,Muttil,2021-02-08,Limited Community Cluster,17.0
WAYANAD,Edavaka,2021-07-27,Limited Community Cluster,40.0
ERNAKULAM,Eloor,2021-07-26,Institutional Cluster,5.0
